WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2022-04-09,North America,Bermuda,Devonshire,Protests,Peaceful protest,1,0,1882.0,Demonstrations,3888.0,32.3033,-64.7595
2021-05-01,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2260.0,Demonstrations,3891.0,32.2991,-64.7896
2021-06-26,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2260.0,Demonstrations,3891.0,32.2991,-64.7896
2021-08-28,North America,Bermuda,Pembroke,Protests,Peaceful protest,2,0,2260.0,Demonstrations,3891.0,32.2991,-64.7896
2021-11-06,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2260.0,Demonstrations,3891.0,32.2991,-64.7896
2022-02-05,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269.0,Demonstrations,3891.0,32.2991,-64.7896
2022-02-19,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269.0,Demonstrations,3891.0,32.2991,-64.7896
2022-04-09,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269.0,Demonstrations,3891.0,32.2991,-64.7896
2022-04-23,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269.0,Demonstrations,3891.0,32.2991,-64.7896
2022-05-28,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269.0,Demonstrations,3891.0,32.2991,-64.7896
2022-09-24,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269.0,Demonstrations,3891.0,32.2991,-64.7896
2023-02-11,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2268.0,Demonstrations,3891.0,32.2991,-64.7896
2023-03-18,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2268.0,Demonstrations,3891.0,32.2991,-64.7896
2023-04-22,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2268.0,Demonstrations,3891.0,32.2991,-64.7896
2023-09-02,North America,Bermuda,Pembroke,Protests,Peaceful protest,2,0,2268.0,Demonstrations,3891.0,32.2991,-64.7896
2023-10-07,North America,Bermuda,Pembroke,Protests,Peaceful protest,2,0,2268.0,Demonstrations,3891.0,32.2991,-64.7896
2023-11-04,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2268.0,Demonstrations,3891.0,32.2991,-64.7896
2023-11-11,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2268.0,Demonstrations,3891.0,32.2991,-64.7896
