STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VISITOR_TYPE,Visitor type,ACCOMMODATION_TYPE,Accommodation type,SOURCE,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_DOM@DF_DOMESTIC(1.0),Domestic tourism,I,AUS,Australia,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),PRIVATE,Private accommodation,TSS,Tourism supply surveys,2008,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_DOM@DF_DOMESTIC(1.0),Domestic tourism,I,AUS,Australia,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),PRIVATE,Private accommodation,TSS,Tourism supply surveys,2009,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_DOM@DF_DOMESTIC(1.0),Domestic tourism,I,AUS,Australia,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),PRIVATE,Private accommodation,TSS,Tourism supply surveys,2010,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_DOM@DF_DOMESTIC(1.0),Domestic tourism,I,AUS,Australia,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),PRIVATE,Private accommodation,TSS,Tourism supply surveys,2011,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_DOM@DF_DOMESTIC(1.0),Domestic tourism,I,AUS,Australia,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),PRIVATE,Private accommodation,TSS,Tourism supply surveys,2012,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_DOM@DF_DOMESTIC(1.0),Domestic tourism,I,AUS,Australia,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),PRIVATE,Private accommodation,TSS,Tourism supply surveys,2013,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_DOM@DF_DOMESTIC(1.0),Domestic tourism,I,AUS,Australia,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),PRIVATE,Private accommodation,TSS,Tourism supply surveys,2014,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_DOM@DF_DOMESTIC(1.0),Domestic tourism,I,AUS,Australia,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),PRIVATE,Private accommodation,TSS,Tourism supply surveys,2015,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_DOM@DF_DOMESTIC(1.0),Domestic tourism,I,AUS,Australia,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),PRIVATE,Private accommodation,TSS,Tourism supply surveys,2016,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_DOM@DF_DOMESTIC(1.0),Domestic tourism,I,AUS,Australia,NIGHTS_ACCOM,Nights spent in tourism accommodation establishments,NGHT,Nights,_T,All visitors (overnight and same-day),PRIVATE,Private accommodation,TSS,Tourism supply surveys,2017,,,,A,Normal value,A,Normal value,0,Units
