STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2015,,3,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2014,,2.9,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2013,,2.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2013,,2.9,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2012,,2.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2011,,2.7,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2010,,2.7,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2009,,2.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2008,,2.9,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2012,,2.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2011,,2.7,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2010,,2.6,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2009,,2.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2008,,2.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2024,,2.9,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2023,,2.9,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2022,,2.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2021,,1.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2020,,1.6,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2019,,2.4,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2018,,2.9,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2017,,2.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2016,,2.7,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2015,,3.1,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GDP_SH,Tourism share of GDP (direct),PT_B1GQ,Percentage of GDP,2014,,3,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2025,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2024,,4.4,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2023,,4.4,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2022,,4.3,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2021,,3.1,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2020,,2.9,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2019,,3.7,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2018,,4.1,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2017,,4,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2016,,3.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2015,,4.9,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2014,,4.8,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2013,,4.7,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2012,,4.7,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2011,,4.6,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2010,,4.6,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2009,,4.6,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,EMP_SH,Tourism share of employment (direct),PT_EMP,Percentage of employment,2008,,4.5,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2024,,2.7,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2023,,2.7,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2022,,2.6,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2021,,1.6,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2020,,1.4,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_KEY@DF_KEY_IND_PC(1.0),Key tourism economic indicators,I,AUS,Australia,GVA_SH,Tourism share of GVA (direct),PT_B1G,Percentage of gross value added,2019,,2.2,,A,Normal value,A,Normal value,0,Units
