STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VISITOR_TYPE,Visitor type,ACCOMMODATION_TYPE,Accommodation type,SOURCE,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2008,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2009,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2010,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2011,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2012,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2013,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2014,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2015,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2016,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2017,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2018,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2019,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2020,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUS,Australia,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2021,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUT,Austria,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2008,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUT,Austria,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2009,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUT,Austria,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2010,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUT,Austria,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2011,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUT,Austria,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2012,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,AUT,Austria,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2013,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,BEL,Belgium,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2008,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,BEL,Belgium,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2009,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,BEL,Belgium,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2010,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,BEL,Belgium,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2011,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,BEL,Belgium,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2012,,,,A,Normal value,A,Normal value,0,Units
DATAFLOW,OECD.CFE.TOU:DSD_TOURISM_INTER@DF_OUTBOUND(1.0),Outbound tourism,I,BEL,Belgium,_Z,Not applicable,DEPARTURES,Departures,PS,Persons,SAME_DAY,Same-day visitors (excursionists),_Z,Not applicable,_Z,Not applicable,2013,,,,A,Normal value,A,Normal value,0,Units
