indicator_code,indicator_label,reporter_area_code,reporter_area_label,year,value,unit,indicator_name
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),8,Albania,2020,2920.284,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),8,Albania,2021,3122.45591856549,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),8,Albania,2022,3024.57133580973,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),8,Albania,2023,3448.09212922009,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),8,Albania,2024,3060.88746736367,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),31,Azerbaijan,2018,20979.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),31,Azerbaijan,2019,20278.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),31,Azerbaijan,2020,4841.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),31,Azerbaijan,2021,11620.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),31,Azerbaijan,2022,13931.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),32,Argentina,2006,20706.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),32,Argentina,2012,52972.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),32,Argentina,2013,53681.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
DOMC_TRIP_TOTL_TOTL_TOUR,domestic - trips - total - total - overnight visitors (tourists),32,Argentina,2014,50270.0,thousand trips,domestic - trips - total - total - overnight visitors (tourists)
