# Country Centroids for Distance Calculation
# Generated: 2026-04-17
# Source: Standard geographic centroids
# Usage: Calculate great-circle distances for origin-destination modeling

country_code,country_name,latitude,longitude,region
AFG,Afghanistan,33.9391,67.7100,Asia-Pacific
ALB,Albania,41.1533,20.1683,Europe
DZA,Algeria,28.0339,1.6596,Africa
AND,Andorra,42.5063,1.5218,Europe
AGO,Angola,-11.2027,17.8739,Africa
ATG,Antigua and Barbuda,17.0608,-61.7964,Americas
ARG,Argentina,-38.4161,-63.6167,Americas
ARM,Armenia,40.0691,45.0382,Europe
AUS,Australia,-25.2744,133.7751,Asia-Pacific
AUT,Austria,47.5162,14.5501,Europe
AZE,Azerbaijan,40.1431,47.5769,Europe
BHS,Bahamas,25.0343,-77.3963,Americas
BHR,Bahrain,26.0667,50.5577,Middle East
BGD,Bangladesh,23.6850,90.3563,Asia-Pacific
BRB,Barbados,13.1939,-59.5432,Americas
BLR,Belarus,53.7098,27.9534,Europe
BEL,Belgium,50.5039,4.4699,Europe
BLZ,Belize,17.1899,-88.4977,Americas
BEN,Benin,9.3077,2.3158,Africa
BTN,Bhutan,27.5142,90.4336,Asia-Pacific
BOL,Bolivia,-16.2902,-63.5887,Americas
BIH,Bosnia and Herzegovina,43.9159,17.6791,Europe
BWA,Botswana,-22.3285,24.6849,Africa
BRA,Brazil,-14.2350,-51.9253,Americas
BRN,Brunei,4.5353,114.7277,Asia-Pacific
BGR,Bulgaria,42.7339,25.4858,Europe
BFA,Burkina Faso,12.2383,-1.5616,Africa
BDI,Burundi,-3.3731,29.9189,Africa
CPV,Cabo Verde,16.5388,-23.0418,Africa
KHM,Cambodia,12.5657,104.9910,Asia-Pacific
CMR,Cameroon,7.3697,12.3547,Africa
CAN,Canada,56.1304,-106.3468,Americas
CAF,Central African Republic,6.6111,20.9394,Africa
TCD,Chad,15.4542,18.7322,Africa
CHL,Chile,-35.6751,-71.5430,Americas
CHN,China,35.8617,104.1954,Asia-Pacific
COL,Colombia,4.5709,-74.2973,Americas
COM,Comoros,-11.6455,43.3333,Africa
COG,Congo,0.2280,15.8277,Africa
COD,Democratic Republic of the Congo,-4.0383,21.7587,Africa
CRI,Costa Rica,9.7489,-83.7534,Americas
CIV,Côte d'Ivoire,7.5400,-5.5471,Africa
HRV,Croatia,45.1000,15.2000,Europe
CUB,Cuba,21.5218,-77.7812,Americas
CYP,Cyprus,35.1264,33.4299,Europe
CZE,Czech Republic,49.8175,15.4730,Europe
DNK,Denmark,56.2639,9.5018,Europe
DJI,Djibouti,11.8251,42.5903,Africa
DMA,Dominica,15.4150,-61.3710,Americas
DOM,Dominican Republic,18.7357,-70.1627,Americas
ECU,Ecuador,-1.8312,-78.1834,Americas
EGY,Egypt,26.8206,30.8025,Middle East
SLV,El Salvador,13.7942,-88.8965,Americas
GNQ,Equatorial Guinea,1.6508,10.2679,Africa
ERI,Eritrea,15.1794,39.7823,Africa
EST,Estonia,58.5953,25.0136,Europe
SWZ,Eswatini,-26.5225,31.4659,Africa
ETH,Ethiopia,9.1450,40.4897,Africa
FJI,Fiji,-17.7134,178.0650,Asia-Pacific
FIN,Finland,61.9241,25.7482,Europe
FRA,France,46.2276,2.2137,Europe
GAB,Gabon,-0.8037,11.6094,Africa
GMB,Gambia,13.4432,-15.3101,Africa
GEO,Georgia,42.3154,43.3569,Europe
DEU,Germany,51.1657,10.4515,Europe
GHA,Ghana,7.9465,-1.0232,Africa
GRC,Greece,39.0742,21.8243,Europe
GRD,Grenada,12.1165,-61.6790,Americas
GTM,Guatemala,15.7835,-90.2308,Americas
GIN,Guinea,9.9456,-9.6966,Africa
GNB,Guinea-Bissau,11.8037,-15.1804,Africa
GUY,Guyana,4.8604,-58.9302,Americas
HTI,Haiti,18.9712,-72.2852,Americas
HND,Honduras,15.2000,-86.2419,Americas
HUN,Hungary,47.1625,19.5033,Europe
ISL,Iceland,64.9631,-19.0208,Europe
IND,India,20.5937,78.9629,Asia-Pacific
IDN,Indonesia,-0.7893,113.9213,Asia-Pacific
IRN,Iran,32.4279,53.6880,Middle East
IRQ,Iraq,33.2232,43.6793,Middle East
IRL,Ireland,53.4129,-8.2439,Europe
ISR,Israel,31.0461,34.8516,Middle East
ITA,Italy,41.8719,12.5674,Europe
JAM,Jamaica,18.1096,-77.2975,Americas
JPN,Japan,36.2048,138.2529,Asia-Pacific
JOR,Jordan,30.5852,36.2384,Middle East
KAZ,Kazakhstan,48.0196,66.9237,Asia-Pacific
KEN,Kenya,-0.0236,37.9062,Africa
KIR,Kiribati,-3.3704,-168.7340,Asia-Pacific
PRK,Korea (North),40.3399,127.5101,Asia-Pacific
KOR,Korea (South),35.9078,127.7669,Asia-Pacific
KWT,Kuwait,29.3117,47.4818,Middle East
KGZ,Kyrgyzstan,41.2044,74.7661,Asia-Pacific
LAO,Laos,19.8563,102.4955,Asia-Pacific
LVA,Latvia,56.8796,24.6032,Europe
LBN,Lebanon,33.8547,35.8623,Middle East
LSO,Lesotho,-29.6100,28.2336,Africa
LBR,Liberia,6.4281,-9.4295,Africa
LBY,Libya,26.3351,17.2283,Middle East
LTU,Lithuania,55.1694,23.8813,Europe
LUX,Luxembourg,49.8153,6.1296,Europe
MDG,Madagascar,-18.7669,46.8691,Africa
MWI,Malawi,-13.2543,34.3015,Africa
MYS,Malaysia,4.2105,101.9758,Asia-Pacific
MDV,Maldives,3.2028,73.2207,Asia-Pacific
MLI,Mali,17.5707,-3.9962,Africa
MLT,Malta,35.9375,14.3754,Europe
MHL,Marshall Islands,7.1315,171.1845,Asia-Pacific
MRT,Mauritania,21.0079,-10.9408,Africa
MUS,Mauritius,-20.3484,57.5522,Africa
MEX,Mexico,23.6345,-102.5528,Americas
FSM,Micronesia,7.4256,150.5508,Asia-Pacific
MDA,Moldova,47.4116,28.3699,Europe
MCO,Monaco,43.7384,7.4246,Europe
MNG,Mongolia,46.8625,103.8467,Asia-Pacific
MNE,Montenegro,42.7087,19.3744,Europe
MAR,Morocco,31.7917,-7.0926,Africa
MOZ,Mozambique,-18.6657,35.5296,Africa
MMR,Myanmar,21.9162,95.9560,Asia-Pacific
NAM,Namibia,-22.9576,18.4904,Africa
NRU,Nauru,-0.5228,166.9315,Asia-Pacific
NPL,Nepal,28.3949,84.1240,Asia-Pacific
NLD,Netherlands,52.1326,5.2913,Europe
NZL,New Zealand,-40.9006,174.8860,Asia-Pacific
NIC,Nicaragua,12.2650,-85.2072,Americas
