cca3,population
DNK,6011488
LKA,21763170
MSR,4386
ZAF,63100945
BHR,1594654
MKD,1822612
GNQ,1668768
CYP,1442614
MUS,1243741
NRU,11680
AUT,9200931
SMR,34132
MNE,623327
HTI,11867032
SWE,10605098
NFK,2188
LSO,2116427
SDN,51662000
ITA,58927633
PRK,25950000
CCK,593
CIV,31719275
GIN,14363931
LCA,184100
BWA,2359609
IDN,284438782
PHL,114123600
ARE,11294243
PRY,6109644
GGY,64781
MRT,4927532
NER,26312034
CHE,9082848
ARG,46735004
GNB,1781308
CUW,156115
NPL,29911840
BLZ,417634
AIA,16010
BRB,267800
VGB,39471
CRI,5309625
CUB,9748007
NGA,223800000
OMN,5343630
BRA,213421037
SLV,6029976
SUR,616500
SVN,2130638
BIH,3422000
TCD,19340757
PER,34350244
USA,340110988
CAN,41651653
JOR,11734000
MYT,320901
IMN,84530
VIR,87146
RWA,14104969
LVA,1829000
ATA,1300
GHA,33742380
KIR,120740
TKL,2608
COM,919901
STP,209607
TCA,50828
MDA,2749076
BGR,6437360
TJK,10499000
WSM,205557
BEL,11825551
PSE,5483450
UMI,0
BES,31980
SLE,9077691
WLF,11620
ISL,391810
TWN,23317031
ABW,107566
VNM,101343800
LBN,5490000
IOT,0
ETH,111652998
YEM,32684503
MTQ,349925
RUS,146028325
PRI,3203295
SXM,41349
CAF,6470307
BMU,64055
DJI,1066809
PCN,35
SSD,15786898
UKR,32862000
BGD,169828911
COD,112832000
COK,15040
UZB,37859698
EST,1369995
DZA,47400000
TON,100179
JPN,123210000
TLS,1391221
CZE,10882341
DOM,10771504
MNG,3544835
PAK,241499431
MLT,574250
MDV,515132
IRL,5458600
TZA,68153004
ALA,30654
MAR,36828330
VCT,110872
URY,3499451
BOL,11365333
FLK,3662
REU,896175
CHL,20206953
TGO,8095498
MYS,34231700
HUN,9539502
BFA,24070553
LUX,681973
TTO,1367764
MAF,31496
SHN,5651
NAM,3022401
CYM,84738
FIN,5650325
PNG,11781559
BVT,0
JEY,103267
ERI,3607000
NIC,6803886
BHS,398165
ISR,10134800
GLP,378561
NCL,264596
DEU,83491249
MWI,20734262
SLB,750325
BEN,13224860
GUY,772975
SVK,5413813
FSM,105564
NOR,5606944
UNK,1585566
SPM,5819
GTM,18079810
ZMB,19693423
HRV,3866233
COL,53057212
ESP,49315949
PYF,279500
SYR,25620000
GRC,10400720
DMA,67408
GEO,4000921
KNA,51320
TKM,7057841
ROU,19036031
POL,37392000
LBR,5248621
GMB,2422712
GRL,56542
COG,6142180
SJM,2530
IRN,85961000
VEN,28517000
LTU,2894886
MLI,22395489
LIE,40900
AUS,27536874
AZE,10241722
SEN,18593258
PAN,4064780
KGZ,7281800
KAZ,20426568
SOM,19655000
ESH,600904
KWT,4881254
MOZ,34090466
ZWE,17073087
TUN,11972169
NZL,5324700
ATF,400
BDI,12332788
PLW,16733
AGO,36170961
LBY,7459000
NLD,18100436
GRD,109021
EGY,107271260
GBR,69281437
SWZ,1235549
AND,88406
MHL,42418
FJI,900869
FRO,54885
CXR,1692
ECU,18103660
MAC,685900
SYC,122729
KEN,53330978
MMR,51316756
GUM,153836
VUT,321409
ASM,49710
GIB,38000
QAT,3173024
SAU,35300280
MEX,130575786
AFG,43844000
VAT,882
SRB,6567783
ALB,2363314
SGS,0
HKG,7527500
IRQ,46118793
MNP,47329
HMD,0
HND,9892632
JAM,2825544
PRT,10749635
BTN,784043
ATG,103603
MDG,31727042
KHM,17577760
BLR,9109280
UGA,45905417
ARM,3076200
CMR,29442327
FRA,66351959
CPV,491233
BLM,10562
GAB,2469296
NIU,1681
LAO,7647000
IND,1417492000
BRN,455500
GUF,292354
TUR,85664944
SGP,6110200
CHN,1408280000
MCO,38423
THA,65859640
TUV,10643
KOR,51159889
