iso3_code,numeric_code,country_name,year,tourism_expenditure_usd_millions,gdp_usd,tourism_gdp_pct,dependency_category,tfi_decline_modifier
ALB,8,Albania,2019,2458.0,27046429296.6673,9.088075815992754,low_dependency,1.0
DZA,12,Algeria,2019,140.0,269322281664.773,0.05198233103277315,minimal_dependency,1.0
AND,20,Andorra,2019,1910.0,4039842405.48117,47.2790720105456,highly_dependent,0.5
ATG,28,Antigua and Barbuda,2019,994.0,2207622874.07407,45.02580634008458,highly_dependent,0.5
AZE,31,Azerbaijan,2019,2004.1,74315882352.9412,2.696731757125782,minimal_dependency,1.0
ARG,32,Argentina,2019,5654.0,638365455340.04,0.8856995554354155,minimal_dependency,1.0
AUS,36,Australia,2019,47953.0,1757022451652.83,2.7292195358625406,minimal_dependency,1.0
BHS,44,"Bahamas, The",2019,4150.0,15832800000.0,26.21140922641605,moderately_dependent,0.75
BHR,48,Bahrain,2019,3860.0,47109734308.5106,8.193635682005263,low_dependency,1.0
BRB,52,Barbados,2019,1250.0,7498050000.0,16.671001126959677,moderately_dependent,0.75
BMU,60,Bermuda,2019,601.0,9233600000.0,6.508837289897765,low_dependency,1.0
BWA,72,Botswana,2019,712.4,19402063512.9066,3.6717743941313183,low_dependency,1.0
BGR,100,Bulgaria,2019,4832.0,113343355779.985,4.263152406903829,low_dependency,1.0
BLR,112,Belarus,2019,1290.0,75961865471.9129,1.698220537352365,minimal_dependency,1.0
CMR,120,Cameroon,2019,681.0,53296694320.2057,1.2777527925251098,minimal_dependency,1.0
CYM,136,Cayman Islands,2019,964.0,7241244269.45972,13.312629212989185,moderately_dependent,0.75
LKA,144,Sri Lanka,2019,4663.0,98963185509.6499,4.711853176497952,low_dependency,1.0
CHL,152,Chile,2019,3316.0,330267137371.592,1.0040357107250073,minimal_dependency,1.0
COL,170,Colombia,2019,6784.0,418818154879.271,1.619796066852824,minimal_dependency,1.0
CRI,188,Costa Rica,2019,4339.0,95350423176.5962,4.550582845305095,low_dependency,1.0
HRV,191,Croatia,2019,11971.0,92983810328.9088,12.874284198136584,moderately_dependent,0.75
CUB,192,Cuba,2019,2645.0,107352000000.0,2.463857217378344,minimal_dependency,1.0
CYP,196,Cyprus,2019,3251.0,37634533331.8902,8.638342798966542,low_dependency,1.0
CZE,203,Czechia,2019,7967.0,347034062928.479,2.295740058704824,minimal_dependency,1.0
BEN,204,Benin,2019,240.86,21482643706.4249,1.1211841675145644,minimal_dependency,1.0
ECU,218,Ecuador,2019,2193.7,124676074700.0,1.7595196233748607,minimal_dependency,1.0
SLV,222,El Salvador,2019,1664.0,35364960000.0,4.705222344377033,low_dependency,1.0
EST,233,Estonia,2019,2304.0,43130419829.35,5.341937335912834,low_dependency,1.0
FJI,242,Fiji,2019,1345.0,5968125909.27126,22.536387811634352,moderately_dependent,0.75
