country,year,gpi_score
,2024,3.1
AFE,2024,2.66
AFG,2024,1.7
AFW,2024,3.045
ARB,2024,2.25
CSS,2024,3.24285714285714
EAP,2024,2.97142857142857
EAR,2024,2.996875
EAS,2024,2.97142857142857
ECA,2024,3.35
ECS,2024,3.35
FCS,2024,2.478125
HPC,2024,2.78947368421053
IBT,2024,2.91298701298701
IDA,2024,2.91298701298701
IDB,2024,3.17894736842105
IDX,2024,2.82586206896552
LAC,2024,2.95555555555556
LCN,2024,2.97
LDC,2024,2.67674418604651
LMY,2024,2.908
LTE,2024,3.35
MEA,2024,2.375
MIC,2024,3.08846153846154
MNA,2024,2.375
OSS,2024,3.0625
PRE,2024,2.72058823529412
PSS,2024,3.18888888888889
SAS,2024,3.2
SSA,2024,2.84615384615385
SSF,2024,2.8525
SST,2024,3.1625
TEA,2024,2.97142857142857
TEC,2024,3.35
TLA,2024,2.97
TMN,2024,2.375
TSA,2024,3.2
TSS,2024,2.8525
WLD,2024,2.91298701298701
