country,total_sites
Russia,34
Israel,9
Greece,8
Germany,7
Italy,7
Brazil,5
People's Republic of China,4
Spain,4
South Korea,4
Denmark,3
Mexico,3
Iran,3
India,3
United States,3
Peru,3
Turkey,2
Mongolia,2
Palestine,2
Indonesia,2
Thailand,2
Montenegro,2
Iceland,2
Austria,2
France,2
Lithuania,2
Norway,2
Sweden,2
Senegal,2
Belgium,2
Hungary,2
Canada,2
Portugal,2
Mali,2
Guinea,1
Cyprus,1
Netherlands,1
Namibia,1
Serbia,1
Lebanon,1
Yemen,1
Ecuador,1
Kazakhstan,1
Uzbekistan,1
Turkmenistan,1
Eritrea,1
Madagascar,1
Nauru,1
Finland,1
Belarus,1
Estonia,1
Latvia,1
Ukraine,1
Moldova,1
Soviet Union,1
Switzerland,1
Qatar,1
Saint Vincent and the Grenadines,1
Vietnam,1
Ethiopia,1
Romania,1
