country_code,year,policy_institutional_assessment
,2024,3.5
AFE,2024,2.85
AFG,2024,1.5
AFW,2024,3.325
ARB,2024,2.25
CSS,2024,3.14285714285714
EAP,2024,3.07142857142857
EAR,2024,3.109375
EAS,2024,3.07142857142857
ECA,2024,4.125
ECS,2024,4.125
FCS,2024,2.71875
HPC,2024,3.06578947368421
IBT,2024,3.11038961038961
IDA,2024,3.11038961038961
IDB,2024,3.34210526315789
IDX,2024,3.03448275862069
LAC,2024,3.11111111111111
LCN,2024,3.15
LDC,2024,2.98837209302326
LMY,2024,3.11333333333333
LTE,2024,3.5
MEA,2024,2.125
MIC,2024,3.24038461538462
MNA,2024,2.125
OSS,2024,2.8125
PRE,2024,3.08823529411765
PSS,2024,3.0
SAS,2024,3.3
SSA,2024,3.1025641025641
SSF,2024,3.0875
SST,2024,2.97916666666667
TEA,2024,3.07142857142857
TEC,2024,4.125
TLA,2024,3.15
TMN,2024,2.125
TSA,2024,3.3
TSS,2024,3.0875
WLD,2024,3.11038961038961
